Datetime,User,Tweet Id,Text
2022-12-25 15:08:39+00:00,0xiqbalSCP001,1607030569472528386,"I just won a raffle for @buster_ranger from @LuxWorld_ on @AlphabotApp!

🎉 LFG #Alphabot 🎉

 https://t.co/bjA7V58mgF"
2022-12-25 12:47:32+00:00,PealsSamyeli,1606995057843789828,"@AycanEverley @frjsr714810 @Gameverse_ @ethereum @LuxWorld_ @ZooEcosystem @vEmpireDDAO @NineChronicles @AlienWorlds @DogCollarToken @OfficialTCGCoin @ArrlandNFT @Rollercoin_ Wow, I am really fascinated by this."
2022-12-25 11:02:16+00:00,TommyWang2211,1606968564254404610,"@LuxWorld_ When #LuxWorld combines #Move2Earn and #Travel2Earn, it will be a big boom."
2022-12-25 10:55:43+00:00,james19_oliver,1606966915850989570,"@LucasMaxxx11 @LuxWorld_ maybe both in real life and in metaverse cause this a web 3 project, everything is possible.
#LuxWorld #TravelToEarn"
2022-12-25 10:54:06+00:00,james19_oliver,1606966510962216960,"@LuxWorld_ LFG #LuxWorld, I believe in your project and don't let me down."
2022-12-25 10:51:14+00:00,james19_oliver,1606965788686315520,"@LuxWorld_ Merry Christmas everyone here at Xmas and doesn't hang out 😢😭
#LuxWorld #TravelToEarn"
2022-12-25 10:47:41+00:00,LucasMaxxx11,1606964893684740097,@LuxWorld_ I'm really curious what games can be played in #LuxWorld ? #TravelToEarn in metaverse?
2022-12-25 10:43:33+00:00,Masknetwork2021,1606963854537547776,"@LuxWorld_ Thanks for shared this wonderful opportunity @LuxWorld_
Best wishes for all team members🚀
@Op24_po 
@huisong13 
@khoabui1789 
Merry Christmas!🎅 I wish you to receive blessings one by one, this coming year 🎄🎉

Discord : 
chancanh3#6177
#LuxWorld #traveltoearn"
2022-12-25 10:37:38+00:00,GwenEverton10,1606962367157637122,"@LuxWorld_ came here because friends tagged me, anything interesting?
#LuxWorld #TravelToEarn"
2022-12-25 10:34:45+00:00,HugoJoseph34,1606961638791610368,"@LuxWorld_ Can't wait till the day #LuxWorld launching 🔥 
#TravelToEarn"
