Datetime,User,Tweet Id,Text
2022-12-25 11:02:16+00:00,TommyWang2211,1606968564254404610,"@LuxWorld_ When #LuxWorld combines #Move2Earn and #Travel2Earn, it will be a big boom."
2022-12-23 19:30:56+00:00,NobleMoody_357,1606371799872438272,"#GetFit #Move2Earn #Play2Earn #Travel2Earn rewarding you multiple crypto currencies for exercising, pilates, running, sports, swimming, walking, water sports,workouts &amp; yoga! https://t.co/y0hkgaNKVp"
2022-12-21 18:18:57+00:00,KnShayeMedia,1605628909902368769,Let’s Get It! #GetFit #Tagcoin #Tagprotocol #GFAM #Move2Earn #Travel2Earn #Play2Earn #NFTs https://t.co/0101zbmJdQ
2022-12-20 16:02:15+00:00,sandy_carter,1605232117494988802,"And another amazing @unstoppablewebpartner - @ArivaWonderland!

You can now use Login with Unstoppable in ARivaWonderland a unique blockchain travel game that lets you travel in time and travel2earn !!!!

✈️ Now boarding here: https://t.co/gzJmdOyFJf https://t.co/cKSuwaTwjM"
2022-12-20 02:00:01+00:00,GetFitMining,1605020162385534976,"1⃣ Follow us
2⃣ Retweet
3⃣ Tag 3 friends &amp; comment below
https://t.co/ge8m1waH7C If an advanced #exerciser or just out for a #walk, #GetFitMining #rewards all of your #MOVEMENT  24/7 with #Crypto Mining Rewards! #workout #cryptocurrency #Move2Earn #Play2Earn #TRAVEL2EARN #Bitcoin https://t.co/MLAxDw5xog"
2022-12-20 00:00:01+00:00,GetFitMining,1604989965426774016,"1⃣ Follow us
2⃣ Retweet
3⃣ Tag 3 friends &amp; comment below
https://t.co/ge8m1waH7C If an advanced #exerciser or just out for a #walk, #GetFitMining #rewards all of your #MOVEMENT  24/7 with #Crypto Mining Rewards! #workout #cryptocurrency #Move2Earn #Play2Earn #TRAVEL2EARN #Bitcoin https://t.co/zaT7LooSqQ"
2022-12-19 23:00:00+00:00,GetFitMining,1604974859829727232,"1⃣ Follow us
2⃣ Retweet
3⃣ Tag 3 friends &amp; comment below
https://t.co/ge8m1waH7C If an advanced #exerciser or just out for a #walk, #GetFitMining #rewards all of your #MOVEMENT  24/7 with #Crypto Mining Rewards! #workout #cryptocurrency #Move2Earn #Play2Earn #TRAVEL2EARN #Bitcoin https://t.co/SEH2YHF5bQ"
2022-12-19 21:47:24+00:00,GetFitMining,1604956589575782400,"1⃣ Follow us
2⃣ Retweet
3⃣ Tag 3 friends &amp; comment below
https://t.co/ge8m1wsiwc If an advanced #exerciser or just out for a #walk, #GetFitMining #rewards all of your #MOVEMENT  24/7 with #Crypto Mining Rewards! #workout #cryptocurrency #Move2Earn #Play2Earn #TRAVEL2EARN #Bitcoin https://t.co/JLTKdkvic7"
2022-12-19 20:30:00+00:00,GetFitMining,1604937111718731780,"1⃣ Follow us
2⃣ Retweet
3⃣ Tag 3 friends &amp; comment below
https://t.co/ge8m1wsiwc If an advanced #exerciser or just out for a #walk, #GetFitMining #rewards all of your #MOVEMENT  24/7 with #Crypto Mining Rewards! #workout #cryptocurrency #Move2Earn #Play2Earn #TRAVEL2EARN #Bitcoin https://t.co/0P1lTVv0JG"
2022-12-19 19:00:00+00:00,GetFitMining,1604914463110443011,"1⃣ Follow us
2⃣ Retweet
3⃣ Tag 3 friends &amp; comment below
https://t.co/ge8m1waH7C If an advanced #exerciser or just out for a #walk, #GetFitMining #rewards all of your #MOVEMENT  24/7 with #Crypto Mining Rewards! #workout #cryptocurrency #Move2Earn #Play2Earn #TRAVEL2EARN #Bitcoin https://t.co/23oSkY8ChD"
